Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_E2F_TARGETS	18	0.9	0.9	0.0087	0.012428571428571428	0.20810157994974104	19.90511499257961
HALLMARK_ANDROGEN_RESPONSE	18	0.2	0.2736842105263158	0.0	0.0	0.6498765643975704	20.551814173098933
HALLMARK_G2M_CHECKPOINT	18	0.1	0.14444444444444446	0.0342	0.042749999999999996	0.3312276013810085	17.778794997679043
HALLMARK_MYOGENESIS	19	0.6	0.6782608695652174	5.0E-4	0.00125	0.42785527662697403	20.349334071365366
HALLMARK_XENOBIOTIC_METABOLISM	21	0.4	0.49523809523809526	0.0	0.0	0.737255324558249	20.804765598116276
HALLMARK_COMPLEMENT	22	0.2	0.2736842105263158	0.0	0.0	0.5785869945252308	20.52601196392129
HALLMARK_P53_PATHWAY	23	0.1	0.14444444444444446	0.0	0.0	0.6023187559876004	19.364508423322697
HALLMARK_APICAL_JUNCTION	23	0.0332	0.07193333333333334	0.0	0.0	0.7189878088760487	20.397720031357625
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	23	0.014	0.0455	0.0	0.0	0.9562244689060034	20.320338690620243
HALLMARK_ALLOGRAFT_REJECTION	23	0.0749	0.12982666666666667	0.0	0.0	0.801993241901313	20.65736791141049
HALLMARK_APOPTOSIS	24	0.0799	0.1298375	0.0	0.0	0.6930873986007391	20.031510261529725
HALLMARK_ESTROGEN_RESPONSE_LATE	25	0.3	0.38999999999999996	0.0587	0.0587	0.18630845229664972	17.069774802188153
HALLMARK_KRAS_SIGNALING_UP	26	0.0222	0.06413333333333333	0.0	0.0	0.7527217878679058	20.574341741609537
HALLMARK_GLYCOLYSIS	29	0.0328	0.07193333333333334	0.0	0.0	0.8224038124752706	20.557959869029972
HALLMARK_IL2_STAT5_SIGNALING	31	0.0	0.0	0.0	0.0	0.9021119669034368	20.02230729556301
HALLMARK_MTORC1_SIGNALING	31	0.001	0.00572	0.0	0.0	0.9392743831107986	20.498590553528437
HALLMARK_ESTROGEN_RESPONSE_EARLY	33	0.5	0.5909090909090909	1.0E-4	3.333333333333334E-4	0.41031464625042374	19.47855642527407
HALLMARK_INTERFERON_GAMMA_RESPONSE	35	0.0	0.0	0.0	0.0	0.8609709571827653	19.91892915892689
HALLMARK_HYPOXIA	37	0.0021	0.009099999999999999	0.0	0.0	0.8991520351458344	20.003012342638208
HALLMARK_INFLAMMATORY_RESPONSE	42	9.0E-4	0.00572	0.0	0.0	0.782053261237685	19.981411055217034
HALLMARK_TNFA_SIGNALING_VIA_NFKB	47	0.0	0.0	0.0	0.0	0.8729828343306587	19.64497370426116
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	51	0.0	0.0	0.0	0.0	0.9017177996493144	20.610810750811474
