Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_E2F_TARGETS	18	0.7	0.7318181818181817	0.0075	0.010312499999999999	0.20810157994974066	1.9051149925796358
HALLMARK_ANDROGEN_RESPONSE	18	0.3	0.3833333333333333	0.0	0.0	0.6498765643975698	2.55181417309892
HALLMARK_G2M_CHECKPOINT	18	0.2	0.2705882352941177	0.0326	0.03984444444444444	0.3312276013810077	23.77879499767905
HALLMARK_MYOGENESIS	19	0.6	0.69	4.0E-4	8.8E-4	0.4278552766269735	2.349334071365363
HALLMARK_XENOBIOTIC_METABOLISM	21	0.2	0.2705882352941177	0.0	0.0	0.7372553245582483	2.80476559811626
HALLMARK_COMPLEMENT	22	0.5	0.6052631578947368	0.0	0.0	0.5785869945252302	2.526011963921296
HALLMARK_P53_PATHWAY	23	0.1	0.14533125	0.0	0.0	0.6023187559876	1.3645084233226987
HALLMARK_APICAL_JUNCTION	23	0.0323	0.06753636363636364	0.0	0.0	0.7189878088760484	2.397720031357619
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	23	0.0156	0.04485	0.0	0.0	0.9562244689060031	2.3203386906202472
HALLMARK_ALLOGRAFT_REJECTION	23	0.0724	0.11894285714285714	0.0	0.0	0.8019932419013125	2.657367911410481
HALLMARK_APOPTOSIS	24	0.2	0.2705882352941177	0.0	0.0	0.6930873986007381	2.0315102615297262
HALLMARK_ESTROGEN_RESPONSE_LATE	25	0.1	0.14533125	0.0555	0.0555	0.18630845229665052	23.06977480218815
HALLMARK_KRAS_SIGNALING_UP	26	0.0257	0.06567777777777778	0.0	0.0	0.7527217878679054	2.574341741609537
HALLMARK_GLYCOLYSIS	29	0.1	0.14533125	0.0	0.0	0.8224038124752698	2.5579598690299745
HALLMARK_IL2_STAT5_SIGNALING	31	0.0	0.0	0.0	0.0	0.9021119669034365	2.02230729556301
HALLMARK_MTORC1_SIGNALING	31	0.0012	0.0046	0.0	0.0	0.9392743831107988	2.4985905535284356
HALLMARK_ESTROGEN_RESPONSE_EARLY	33	0.6	0.69	0.0	0.0	0.4103146462504237	1.4785564252740662
HALLMARK_INTERFERON_GAMMA_RESPONSE	35	0.0	0.0	0.0	0.0	0.860970957182765	1.9189291589268829
HALLMARK_HYPOXIA	37	0.001	0.0046	0.0	0.0	0.8991520351458342	2.0030123426382
HALLMARK_INFLAMMATORY_RESPONSE	42	0.0011	0.0046	0.0	0.0	0.7820532612376845	1.98141105521702
HALLMARK_TNFA_SIGNALING_VIA_NFKB	47	0.0	0.0	0.0	0.0	0.8729828343306582	1.6449737042611625
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	51	0.0	0.0	0.0	0.0	0.9017177996493138	2.6108107508114755
