NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	128	0.4172183	1.0775745	0.198	0.92036027	1.0	4852	tags=45%, list=40%, signal=74%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	83	0.4251265	1.070828	0.255	0.9219763	1.0	3752	tags=31%, list=31%, signal=45%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	156	0.41324487	1.0688332	0.195	0.8775638	1.0	4342	tags=38%, list=36%, signal=58%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	167	0.3873716	1.0011301	0.506	1.0	1.0	4717	tags=41%, list=39%, signal=67%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	140	0.3783357	0.97928554	0.583	1.0	1.0	5271	tags=44%, list=44%, signal=78%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	52	0.3930567	0.9714568	0.574	1.0	1.0	5468	tags=58%, list=45%, signal=105%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	91	0.3727317	0.9492256	0.683	1.0	1.0	6012	tags=51%, list=50%, signal=100%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	46	0.38578644	0.9388834	0.669	1.0	1.0	6387	tags=57%, list=53%, signal=119%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	117	0.3579815	0.9207546	0.801	1.0	1.0	5649	tags=44%, list=47%, signal=82%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		168	0.35136318	0.91626817	0.854	1.0	1.0	6128	tags=60%, list=51%, signal=119%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		136	0.3446057	0.8880096	0.909	1.0	1.0	4589	tags=29%, list=38%, signal=46%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		60	0.35395214	0.87887084	0.828	1.0	1.0	5238	tags=42%, list=43%, signal=73%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		130	0.33990046	0.8768701	0.918	1.0	1.0	5241	tags=42%, list=43%, signal=72%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		165	0.33754614	0.87281895	0.931	1.0	1.0	5779	tags=45%, list=48%, signal=85%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		197	0.33075115	0.8665916	0.945	1.0	1.0	6123	tags=46%, list=51%, signal=92%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		135	0.33677027	0.8640109	0.931	1.0	1.0	5593	tags=41%, list=46%, signal=76%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		185	0.3292829	0.86075926	0.956	1.0	1.0	4447	tags=31%, list=37%, signal=49%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		177	0.32803458	0.8545775	0.964	1.0	1.0	4654	tags=36%, list=38%, signal=58%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		150	0.3276512	0.84819084	0.954	1.0	1.0	5378	tags=36%, list=44%, signal=64%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		95	0.333479	0.84749675	0.917	1.0	1.0	6623	tags=56%, list=55%, signal=122%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		142	0.32768258	0.8467204	0.945	1.0	1.0	4672	tags=31%, list=39%, signal=50%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		162	0.32304832	0.84071267	0.973	1.0	1.0	3910	tags=27%, list=32%, signal=39%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		15	0.3797767	0.835248	0.79187816	1.0	1.0	5180	tags=47%, list=43%, signal=81%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		176	0.31781036	0.8227392	0.982	1.0	1.0	6147	tags=47%, list=51%, signal=94%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		151	0.30220282	0.7788421	0.997	1.0	1.0	6623	tags=49%, list=55%, signal=107%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		69	0.3037361	0.7631683	0.975	1.0	1.0	5852	tags=39%, list=48%, signal=75%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		56	0.3018496	0.7554077	0.964	1.0	1.0	7012	tags=59%, list=58%, signal=139%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		162	0.28164545	0.7328326	0.998	1.0	1.0	6623	tags=48%, list=55%, signal=103%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		84	0.27922127	0.70985353	0.995	1.0	1.0	6757	tags=44%, list=56%, signal=99%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		147	0.25378525	0.65938395	1.0	1.0	1.0	4258	tags=22%, list=35%, signal=33%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		95	0.25717157	0.65149254	1.0	1.0	1.0	5679	tags=37%, list=47%, signal=69%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		171	0.23854293	0.62181336	1.0	1.0	1.0	5400	tags=28%, list=45%, signal=50%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		77	0.2439695	0.6130052	1.0	1.0	1.0	6447	tags=38%, list=53%, signal=80%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		193	0.23215795	0.6066449	1.0	1.0	1.0	6537	tags=37%, list=54%, signal=79%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		151	0.22991006	0.594615	1.0	1.0	1.0	4542	tags=20%, list=38%, signal=31%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		92	0.23285028	0.59415156	1.0	1.0	1.0	1210	tags=7%, list=10%, signal=7%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		34	0.24263746	0.57969713	0.993	1.0	1.0	7961	tags=62%, list=66%, signal=180%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		24	0.22657725	0.5282356	0.995992	1.0	1.0	5408	tags=25%, list=45%, signal=45%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		26	0.1501336	0.3503148	1.0	1.0	1.0	9547	tags=69%, list=79%, signal=326%	
