Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_INTERFERON_GAMMA_RESPONSE	32	0.0171	0.03156923076923077	0.0	0.0	0.6635871158343973	2.8936371290841105
HALLMARK_ESTROGEN_RESPONSE_EARLY	33	0.0164	0.03156923076923077	0.0092	0.02090909090909091	0.32288869263932707	21.195040701018016
HALLMARK_APOPTOSIS	34	0.001	0.0034285714285714284	5.0E-4	0.0025	0.4198766972526756	0.44919715231691426
HALLMARK_E2F_TARGETS	36	0.1	0.17142857142857143	0.0	0.0	0.5029673827485969	4.150496840316931
HALLMARK_G2M_CHECKPOINT	36	0.3	0.4497882352941176	0.0	0.0	0.35403376446997026	3.7729474390799638
HALLMARK_MTORC1_SIGNALING	40	8.0E-4	0.0034285714285714284	0.0	0.0	0.6236902825798388	2.8988620748010803
HALLMARK_MYC_TARGETS_V1	43	0.0	0.0	0.0	0.0	0.877895005530261	4.337300293663825
HALLMARK_P53_PATHWAY	44	0.0042	0.0112	0.0033	0.0103125	0.34366841891885963	23.02948845362134
HALLMARK_HYPOXIA	50	0.0	0.0	0.0	0.0	0.4748623265427287	21.065037063316232
HALLMARK_TNFA_SIGNALING_VIA_NFKB	67	0.0	0.0	0.0	0.0	0.5801569114697495	21.61842486553413
